ID,Название,Департамент,Город,Опыт,Расписание,Формат работы,Рабочие часы,График,Зарплата,Ссылка,Требования,Зона ответственности
129454789,Разработчик Linux (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129454789,"Умение разбирать и писать код на С. Разбираться в bash, Python и уметь писать небольшие скрипты. Быть уверенным пользователем Linux. ","Сопровождение, автоматизация, сборка и выпуск релизов компонента ""доверенное ядро"". Актуализация данных по уязвимостям ядра Linux и портирование исправлений, композиционный анализ. "
129433650,"Стажер по направлению ""Ручное функциональное тестирование""",,Рязань,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129433650,Базовое понимание методологий тестирования. Знание жизненного цикла разработки ПО. Понимает как работает взаимодействие клиент-сервер. Опыт работы с Linux (Debian...,Тестирование новой функциональности. Проведение регрессионного тестирования. Проведение интеграционного тестирования. Разработка тестовой документации. Тестирование на основе разработанных тест-кейсов. 
129434106,"Стажер по направлению ""DevOps (Build-Engineer)""",,Москва,От 1 года до 3 лет,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129434106,"Знакомство со скриптовыми языками: Python, Bash. Знакомство с технологией сборки программного кода на языках С\С++. Знакомство с системами сборки...","Сборка кода для работы программно-аппаратных комплексов для квантового распределения ключей, с различным стеком библиотек, на базе C++. "
129450193,DevOps (Build-Engineer) (стажер),,Новосибирск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129450193,"Уверенные навыки работы с Linux в CLI. Понимание сетей, будет плюсом опыт с сетевым оборудованием. Знание основ виртуализации и контейнеризации. ",
129459203,Стажер (Ручное функциональное тестирование),,Пенза,От 1 года до 3 лет,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129459203,"Знания в теории тестирования, иметь представление о тестовой документации (тест-кейсы), иметь представлениями о написании баг репорта. Знания в теории...","Функциональное тестирование продуктов компании. Подготовка тестовых окружений: разворачивание аппаратных и виртуальных стендов, работа с гипервизорами. Моделирование ситуаций, которые могут возникнуть..."
129416016,Технический писатель (стажер),,Томск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129416016,"Общая техническая и компьютерная грамотность. Хорошие навыки письменной и устной коммуникации, умение грамотно и аргументированно излагать свою точку зрения. ",
129457186,Разработчик C++ (стажер),,Пенза,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129457186,"Уверенные знания языков программирования С++, С. Базовые знание скриптовых языков: Python, Bash. Базовые знания систем сборки Make, CMake, Conan. ","Задачи по поддержанию и развитию ПО в сфере информационной безопасности. Многопоточное программирование, организация межпроцессного взаимодействия, взаимодействие с модулями ядра. "
129451883,Presale-инженер/архитектор по ИБ (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129451883,Знание терминологии в области ИБ. Знание основных методов и технологий обеспечения ИБ. Знание основ сетевых технологий. Знание основ криптографии и...,Организация пилотных проектов на стенде или в инфраструктуре заказчика. Проведение демонстрации решений по ИБ. Подготовка сравнений с конкурентами (Battle cards...
129454616,Разработчик JS (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129454616,Знания JavaScript. Будет плюсом опыт работы с TypeScript.,Знакомство и работа с архитектурой MVVM. Верстка интерфейсов с макетов Figma/Pixso. Имплементация логики и поведения интерфейсов согласно техническим требованиям. 
129454437,Разработчик JS (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129454437,"Javascript (es6+), React. Базовый Typescript. HTML, Css/Scss. Понимание REST API. Git. Знание инструментов сборки (Webpack/Vite). ","Реализация новых страниц и функциональных модулей в сервисах отдела. Интеграция с API, работа с формами, написание тестов. Создание переиспользуемых UI..."
129410339,Администратор проекта (стажер),,Томск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129410339,Базовые знания методологий управления проектами. Общие знания менеджмента. Организаторские навыки. Опыт в подготовке презентаций и аналитических материалов. Умение формулировать цели...,"Контроль планов/сроков по задачам, реализуемых в рамках проекта. Формирование еженедельной отчетности по проекту для руководства компании. Организация рабочих встреч..."
129428498,Стажер Разработчик С++,,Уфа,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129428498,Опыт программирования на С++ (С++11 стандарт и выше). Опыт использования системы контроля версии git. Опыт использования системы сборки CMake. ,"Задачи, связанные с использованием криптографических библиотек. Участие в разработке продуктов и компонентов для мобильных платформ. Работа над развитием функционала продукта. "
129463198,Стажер отдела технологических исследований (R&D),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129463198,"Базовые знания языков программирования C/C++, Python, Bash. Базовое понимание работы сетевых протоколов и межсетевого взаимодействия. Опыт разработки приложений под...",
129463737,"Стажер по направлению ""Разработка безопасного ПО (SDL)""",,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129463737,"Общее представление о процессе разработки ПО. Понимание уязвимостей, угроз, рисков информационной безопасности. Коммуникабельность. Наличие знаний в области информационной безопасности. ","Первичный аудит артефактов выполнения практик SDL в комплектах выпускаемых релизов. Первичная проверка моделей угроз, подготовленных командами."
129427364,"Стажер по направлению ""Автотестирование (Python)""",,Уфа,От 1 года до 3 лет,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129427364,Понимание методик тестирования. Практические навыки автоматизированного тестирования на Python. Знание Unix-систем на уровне опытного пользователя. Работа с системой контроля...,"Автоматизация криптобиблиотек и продукта ViPNet OSSL. Работа с CI/CD, Ansible и прочими сервисами для работы автотестирования."
129450786,Presale-инженер/архитектор по ИБ (стажер),,Новосибирск,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129450786,Выпускник или также студент старших курсов по специальности «Информационная безопасность» или аналогичных специальностей. Знание терминологии в области ИБ. ,Организация пилотных проектов на стенде или в инфраструктуре заказчика. Проведение демонстрации решений по ИБ. Подготовка сравнений с конкурентами (Battle cards...
129455354,Специалист по ручному функциональному тестированию (стажер),,Санкт-Петербург,Нет опыта,Полный день,На месте работодателя,4 часа,5/2,Не указана,https://hh.ru/vacancy/129455354,"Сети (базовые знания). Базовые знания Linux. Базовые знания python, shell scripting. Знания в архитектуре серверных компонентов.",Траблшутинг автостенда по нагрузочному тестированию. Поддержка стендов отдела исследования производительности (автостенд с pipline ОИП). Проведение нагрузочного тестирования для команд Core...
